CCLE.cell.line,CGP.cell.line,GSK.cell.line
Panc 10.05,PANC-10-05,
Panc 08.13,PANC-08-13,
LS123,LS-123,
DU 145,DU-145,
U-118 MG,U-118-MG,
HCT 116,HCT-116,
Panc 03.27,PANC-03-27,
LS411N,LS-411N,
U-2 OS,U-2-OS,
SNU-5,NCI-SNU-5,
COLO 741,COLO-741,
LS513,LS-513,
KP4,KP-4,
Hs 578T,Hs-578-T,
YKG1,YKG-1,
OC 314,OC-314,
HUP-T3,HuP-T3,
MPP 89,MPP-89,
KNS-81,KNS-81-FD,
FaDu,FADU,
NCI-H510,NCI-H510A,
SNU-16,NCI-SNU-16,
T1-73,TI-73,
T-47D,T47D,
OAW42,OAW-42,
A-704,A704,
LS1034,LS-1034,
U-87 MG,U-87-MG,
CAL 27,CAL-27,
RPMI 8226,RPMI-8226,
VM-CUB1,VM-CUB-1,
SW-1710,SW1710,
PLC/PRF/5,PLC-PRF-5,
COLO 205,COLO-205,
HuH28,HuH-28,
DMS 79,DMS-79,
SNB-19,SNB19,
MIA PaCa-2,MIA-PaCa-2,
DMS 53,DMS-53,
23132/87,23132-87,
A-673,A673,
A-498,A498,
LU65,LU-65,
OAW28,OAW-28,
LNCaP clone FGC,LNCaP-Clone-FGC,
MKN-45,MKN45,
Capan-1,CAPAN-1,
SW 780,SW780,
SW 1783,SW1783,
DMS 273,DMS-273,
COLO 668,COLO-668,
SW 1088,SW1088,
DMS 153,DMS-153,
SW 900,SW900,
A-204,A204,
SW 1573,SW1573,
COLO 792,COLO-792,
NIH:OVCAR-3,OVCAR-3,
D283 Med,D-283MED,
A-375,A375,
IGROV1,IGROV-1,
Detroit 562,Detroit562,
HuTu 80,HUTU-80,
KATO III,KATOIII,
HuH-6,HUH-6-clone5,
SF-295,SF295,
LOX IMVI,LOXIMVI,
LU99,LU-99A,
KP-N-SI9s,KP-N-S19s,
B-CPAP,BCPAP,
786-O,786-0,
P31/FUJ,P31-FUJ,
KO52,K052,
HUP-T4,HuP-T4,
AN3 CA,AN3-CA,
DU4475,DU-4475,
U266B1,U-266,
MeWo,Mewo,
DMS 114,DMS-114,
NB-4,NB4,
HEC-1-B,HEC-1,
22Rv1,22RV1,
NB-1,NB1,
T24,T-24,
SNU-1,NCI-SNU-1,
A-253,A253,
Loucy,LOUCY,
SR-786,SR,
SW 1990,SW1990,
RS4;11,RS4-11,
COLO-320,COLO-320-HSR,
A3/KAW,A3-KAW,
U-251 MG,U251,
