cellid,CGP.cell.line,CCLE.cell.line,CGP.tissue.type,CCLE.tissue.type,CGP.link,CCLE.link,new.tissue.type,new.source
23132-87,23132-87,23132/87,NA,stomach,http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=910924,http://www.broadinstitute.org/ccle/cell%20lines/2313287_STOMACH,stomach,http://bioinformatics.istge.it/hypercldb/cl38.html
A204,A204,A-204,NA,soft_tissue,http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=910784,http://www.broadinstitute.org/ccle/cell%20lines/A204_SOFT_TISSUE,soft_tissue,http://bioinformatics.istge.it/hypercldb/cl4895.html
B2-17,B2-17,NA,NA,NA,NA,NA,central_nervous_system,http://cellbank.nibio.go.jp/~cellbank/en/search_res_det.cgi?RNO=ifo50361
BC-1,BC-1,NA,NA,NA,http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=910919,NA,haematopoietic_and_lymphoid_tissue,http://www.atcc.org/products/all/CRL-2230.aspx
BOKU,BOKU,NA,NA,NA,http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=753536,NA,cervix,http://cellbank.nibio.go.jp/~cellbank/en/search_res_det.cgi?RNO=ifo50323
BONNA-12,BONNA-12,NA,NA,NA,http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=906695,NA,haematopoietic_and_lymphoid_tissue,http://bioinformatics.istge.it/hypercldb/cl473.html
BPH-1,BPH-1,NA,NA,NA,http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=924105,NA,prostate,http://bioportal.bioontology.org/ontologies/1005?p=terms&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0001323
C-4-II,C-4-II,NA,NA,NA,http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=910553,NA,cervix,http://www.atcc.org/products/all/CRL-1595.aspx#357C3571006A4259B64650D34DF19048
CESS,CESS,NA,NA,NA,http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=910688,NA,haematopoietic_and_lymphoid_tissue,http://www.atcc.org/Products/All/TIB-190.aspx#85786B46AA23451B94BC5D45200673F7
CHP-134,CHP-134,NA,NA,NA,http://cancer.sanger.ac.uk/cell_lines/sample/overview?id=910941,NA,autonomic_ganglia,http://bioportal.bioontology.org/ontologies/1005?p=terms&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0002989
