GSK,CGP
bladder,urinary_tract
bone,bone
brain,autonomic_ganglia
breast,breast
central_nervous_system,central_nervous_system
cervix_uteri,cervix
colon,large_intestine
connective_tissue,soft_tissue
esophagus,oesophagus
hematopoietic_and_lymphatic_system,haematopoietic_and_lymphoid_tissue
kidney,kidney
liver,liver
lung,lung
muscle,soft_tissue
ovary,ovary
pancreas,pancreas
pharynx,upper_aerodigestive_tract
placenta,adrenal_gland
prostate,prostate
rectum,large_intestine
sarcoma,bone
skin,skin
stomach,stomach
synovial_membrane,soft_tissue
thyroid_gland,thyroid
uterus,endometrium
vulva,vulva
